Date,Open,High,Close,new_close,new_high,start_point,end_point,btc
2019-01-05,3851.973876953125,3904.903076171875,3845.194580078125,4035.29638671875,4068.403564453125,,1047.5918361914312,
2019-01-12,3686.97314453125,3698.978271484375,3661.301025390625,3655.0068359375,3685.777099609375,1047.5918361914312,1038.509143531828,0.2841332971858732
2019-01-19,3652.3779296875,3758.533447265625,3728.568359375,3585.123046875,3623.06787109375,1038.509143531828,1019.3860374095875,0.2843378104687768
2019-01-26,3599.71533203125,3654.93310546875,3602.46044921875,3486.181640625,3495.1748046875,1019.3860374095875,987.2349784729929,0.2831851808777245
2019-02-02,3484.6259765625,3523.287353515625,3521.060791015625,3413.767822265625,3469.091796875,987.2349784729929,967.1600410471636,0.28331160506553893
2019-02-09,3671.5859375,3679.94140625,3671.20361328125,3632.070556640625,3669.74658203125,967.1600410471636,956.7509976461613,0.2634175142597118
2019-02-16,3615.270263671875,3652.84130859375,3629.78759765625,3999.820556640625,4000.486328125,956.7509976461613,1058.51901209864,0.2646416250702182
2019-02-23,3998.916259765625,4166.2861328125,4142.52685546875,3851.04736328125,3888.802490234375,1058.51901209864,1019.3778978418661,0.2647014699329261
2019-03-02,3855.318115234375,3874.607421875,3864.4150390625,3903.942626953125,3919.510498046875,1019.3778978418661,1032.2346196629742,0.26440824527910467
2019-03-09,3894.552490234375,3987.23779296875,3963.313720703125,3906.71728515625,3926.59765625,1032.2346196629742,1035.4588469627593,0.26504575872357905
2019-03-16,3963.900146484375,4077.036376953125,4048.725830078125,4087.476318359375,4089.4619140625,1035.4588469627593,1067.7396905039989,0.26122223282569784
2019-03-23,4022.71337890625,4049.882568359375,4035.826416015625,4087.066162109375,4087.066162109375,1067.7396905039989,1084.8207038271648,0.2654277324610958
2019-03-30,4092.13623046875,4296.806640625,4106.66015625,4973.02197265625,5307.00341796875,1084.8207038271648,1318.3425215310917,0.2650988732364122
2019-04-06,5036.79296875,5205.82177734375,5059.8173828125,5324.5517578125,5421.6513671875,1318.3425215310917,1393.6612114036157,0.26174244796451696
2019-04-13,5088.85009765625,5127.1220703125,5096.58642578125,5251.93798828125,5274.275390625,1393.6612114036157,1438.3253816684028,0.27386564443025907
2019-04-20,5304.16064453125,5358.49072265625,5337.88623046875,5464.86669921875,5642.04443359375,1438.3253816684028,1481.9039255579326,0.27116927221111975
2019-04-27,5279.47119140625,5310.75,5268.291015625,5402.697265625,5418.00390625,1481.9039255579326,1516.4924660566674,0.28069173442410805
2019-05-04,5769.20263671875,5886.8935546875,5831.16748046875,5982.45751953125,5989.98095703125,1516.4924660566674,1572.548639413561,0.26285997590113713
2019-05-11,6379.6669921875,7333.0029296875,7204.771484375,8205.16796875,8216.423828125,1572.548639413561,2022.5233920859048,0.24649384385412187
2019-05-18,7341.66455078125,7447.27197265625,7271.2080078125,7680.06640625,7997.6123046875,2022.5233920859048,2115.7482546326396,0.2754856719612287
2019-05-25,7991.88525390625,8117.92578125,8052.5439453125,8659.4873046875,8755.8525390625,2115.7482546326396,2292.487262870929,0.2647370660881937
2019-06-01,8573.83984375,8625.6005859375,8564.0166015625,7824.2314453125,7901.84912109375,2292.487262870929,2092.0557483014395,0.26738162884417116
2019-06-08,8036.77490234375,8076.89111328125,7954.1279296875,8145.857421875,8196.6484375,2092.0557483014395,2120.451057962035,0.2603103575404777
2019-06-15,8689.74609375,8859.1279296875,8838.375,9273.521484375,9299.62109375,2120.451057962035,2262.9025325285133,0.24401760823450816
2019-06-22,10175.923828125,11157.345703125,10701.69140625,13016.2314453125,13796.4892578125,2262.9025325285133,2894.524723167288,0.22237809271666611
